E000		｛㇯𦮙艹｝（癸小篆）
E5FE		𧑄
E5FF		𧑶
E600		𧒃
E601		𧑤
E602		𧒘
E603		𧓽
E604		𧕾
E605		𧓔
E606		𧔉
E607		𧔥
E608		𧔢
E609		𧖚
E60A		𠔿
E60B		𦉹
E60C		𦊔
E60D		𦋺
E60E		𦌈
E60F		𦌊
E610		𦧟
E611		𦧝
E612		｛⿱𥫗寇｝	簆
E613		𥲊
E614		𥷤
E615		𦥘
E616		𧗏
E617		𦨧
E618		𦩋
E619		𦪧
E61A		𦪭
E61B		𦪽
E61C		𦫃
E61D		𦫊
E61E		𧝓
E61F		𧟄
E620		𦍑
E621		𦍤
E622		𦎁
E623		𦍺
E624		𦎐
E625		𦎍
E626		𦎬
E627		𦎦
E628		𦏛
E629		𦏑
E62A		𥹋
E62B		𥹣
E62C		𥻿
E62D		𥻩
E62E		𥼊
E62F		𥼤
E630		𥼷
E631		𥽓
E632		𥽨
E633		𦬺
E634		𦮼
E635		𦮺
E636		𦯌
E637		𦳝
E638		𦵏
E639		𦶑
E63A		𦸜
E63B		𧀄
E63C		𦿆
E63D		𧂐
E63E		𧄸
E63F		𧅱
E640		𦑶
E641		𦒑
E642		𦃄
E643		𦃂
E644		𦅖
E645		𦂳
E646		𧺴
E647		𧼯
E648		𧽕
E649		𧽍
E64A		𧹛
E64B		𧹞
E64C		𧹬
E64D		𨋗
E64E		𨍰
E64F		𨏈
E650		𧰙
E651		𨡎
E652		𨡭
E653		𨢜
E654		𨢢
E655		𨢣
E656		𨢩
E657		𨣈
E658		𨣅
E659		𨣧
E65A		𨤍
E65B		𧱇
E65C		𧱚
E65D		𧱬
E65E		𧵍
E65F		𧠨
E660		𧢃
E661		𧢜
E662		𧿒
E663		𧿼
E664		𨀵
E665		𨂂
E666		𨃓
E667		𨃇
E668		𨂣
E669		𨃟
E66A		𨃨
E66B		𨄍
E66C		𨄌
E66D		𨅍
E66E		𨅊
E66F		𨆌
E670		𨆅
E671		𨆾
E672		𨇁
E673		𨇩
E674		𨇤
E675		𨇱
E676		𨈀
E677		𨈊
E678		𨈌
E679		𨈎
E67A		𨙻
E67B		𨚲
E67C		𨛎
E67D		𨛮
E67E		𨛬
E67F		𨜰
E680		𨜐
E681		𨜓
E682		𨞚
E683		𨞠
E684		𨞪
E685		𨞬
E686		𨟇
E687		𨟉
E688		𨈬
E689		𨈭
E68A		𨉁
E68B		𨉹
E68C		𨒅
E68D		𨓦
E68E		𨔝
E68F		𨘷
E690		𧮰
E691		𧮬
E692		𧯑
E693		𧯋
E694		𧲨
E695		𧴝
E696		𧢻
E697		𧣪
E698		𧣾
E699		𧣴
E69A		𧤺
E69B		𧥄
E69C		𧥅
E69D		𧪜
E69E		𧭓
E69F		𧮈
E6A0		𧮒
E6A1		𩇕
E6A2		｛〾雨｝
E6A3		𨿁
E6A4		𨮭
E6A5		𨰠
E6A6		𩉾
E6A7		𩊚
E6A8		𩋻
E6A9		𩌈
E6AA		𩍐
E6AB		𩌽
E6AC		𩍶
E6AD		𩑺
E6AE		𩓐
E6AF		𩕄
E6B0		𩕳
E6B1		𩖍
E6B2		𩐈
E6B3		𩨒
E6B4		𩨗
E6B5		𩨛
E6B6		𩨸
E6B7		𩨹
E6B8		𩩉
E6B9		𩩲
E6BA		𩡣
E6BB		𩳤
E6BC		𩴵
E6BD		𩵀
E6BE		𩵅
E6BF		𩛿
E6C0		𩜾
E6C1		𩟀
E6C2		｛⿰食麽｝	𩟠
E6C3		𩟫
E6C4		𩗗
E6C5		𩙂
E6C6		𩘻
E6C7		𩙚
E6C8		𩎢
E6C9		𩫵
E6CA		𩫻
E6CB		𩬈
E6CC		𩭏
E6CD		𩭝
E6CE		𩭲
E6CF		𩭪
E6D0		𩮀
E6D1		𩮜
E6D2		𩯣
E6D3		𩯶
E6D4		𩯽
E6D5		𩡩
E6D6		𩡺
E6D7		𩢰
E6D8		𩣚
E6D9		𩢼
E6DA		𩤲
E6DB		𩥉
E6DC		𩥇
E6DD		𩥣
E6DE		𩧓
E6DF		𩰮
E6E0		𩰫
E6E1		𩰹
E6E2		𩰾
E6E3		𩱈
E6E4		𪎽
E6E5		𪎾
E6E6		𪌘
E6E7		𪌳
E6E8		𪍌
E6E9		𪍒
E6EA		𪍓
E6EB		𪍷
E6EC		𩾨
E6ED		𩿅
E6EE		𪀀
E6EF		𩿣
E6F0		𪀢
E6F1		𪀦
E6F2		𪃿
E6F3		𪃶
E6F4		𪃏
E6F5		𪃩
E6F6		𪃥
E6F7		𪃨
E6F8		𪃍
E6F9		𪅎
E6FA		𪄆
E6FB		𪄫
E6FC		𪅃
E6FD		𪄲
E6FE		𪆴
E6FF		𪆰
E700		𪆳
E701		𪇆
E702		𪇄
E703		𪇳
E704		𪈘
E705		𩵚
E706		𩵖
E707		𩵩
E708		𩵹
E709		𩶆
E70A		𩷧
E70B		𩷰
E70C		𩸊
E70D		𩻗
E70E		𩹉
E70F		𩺞
E710		𩻧
E711		𩺭
E712		𩼧
E713		𩽇
E714		𩽌
E715		𪋇
E716		𪊍
E717		𪋮
E718		𪐼
E719		𪑇
E71A		𪑟
E71B		𪒡
E71C		𪔔
E71D		𪔣
E71E		𪔵
E71F		𪔱
E720		𪓚
E721		𪓛
E722		𪓽
E723		𪕍
E724		𪕌
E725		𪕼
E726		𪖐
E727		𪖟
E728		𪖢
E729		𪖣
E72A		𪖨
E72B		𪖥
E72C		𪖷
E72D		𪗋
E72E		𪘪
E72F		𪚅
E730		｛〾龜｝
E731		𤆠
E732		𩂓
E733		𡊿
E734		𡒕
E735		𡾴
E736		𡸔
E737		𥱈
E738		𩰲
E739		𠊱
E73A		𠂹
E73B		𦻏
E73C		𠤱
E73D		𠘱
E73E		𠽫
E73F		𡺲
E740		𡽨
E741		𡿄
E742		𡧗
E743		𣐑
E744		𣔶
E745		𤡃
E746		𣦠
E747		𣀘
E748		𣵁
E749		𣺌
E74A		𩃱
E74B		𣍾
E74C		𣪠
E74D		𢣤
E74E		𥒈
E74F		𥓪
E750		𥕋
E751		𥖚
E752		𥗬
E753		𥧾
E754		𧉮
E755		𧋥
E756		𧒏
E757		𧒰
E758		𧔌
E759		𦌇
E75A		𦡼
E75B		𥳆
E75C		𥴧
E75D		𦨲
E75E		𧅻
E75F		𦂅
E760		𧵥
E761		𧿶
E762		鄘
E763		𩂕
E764		𨺙
E765		𪎭
E767		𨢆
E768		𣶰
E769		𣶯
E76A		𣽻
E76B		𢶒
E76C		𢜱
E76D		𧟆
E76E		𦷦
E76F		𧄤
E770		𦒜
E771		𨃚
E772		𨺰
E773		𨫒
E774		𩌙
E775		𩙆
E776		｛⿰馬戍｝	𩣊
E777		𪃈
E778		𩶰
E779		𩶾
E77A		𩹶
E77B		𩼦
E77C		𩽈
E77D		𡴂（小篆）
E784		𤪯
E785		𨄅
E786		⚊
E787		⚋
E788		𝍪
E789		𝍬
E78A		𝍭
E78B		𝍰（又𥘅）
E78C		𝍱
E78D		｛⿱一𝍭｝
E78E		｛⿱艹⿹勹一｝
E78F		｛⿱艹⿹勹二｝
E790		｛⿱艹⿹勹三｝
E791		｛⿱艹⿹勹四｝
E792		｛⿱艹⿹勹五｝
E793		｛⿱⿰中十⿹勹一｝
E794		｛⿱⿰中十⿹勹二｝
E795		｛⿱⿰中十⿹勹三｝
E796		｛⿱⿰中十⿹勹四｝
E797		｛⿱⿰中十⿹勹五｝
E798		｛⿱⿰中九⿹勹一｝
E799		｛⿱⿰中九⿹勹二｝
E79A		｛⿱⿰中九⿹勹三｝
E79B		｛⿱⿰中九⿹勹四｝
E79C		｛⿱艹⿺乚三｝
E79D		｛⿱艹⿺乚四｝
E79E		｛⿱艹⿺乚五｝
E79F		｛⿱艹⿺乚六｝
E7A0		｛⿱艹⿺乚七｝
E7A1		｛⿱⿰大十⿺乚三｝
E7A2		｛⿱⿰大十⿺乚四｝
E7A3		｛⿱⿰大十⿺乚五｝
E7A4		｛⿱⿰大十⿺乚六｝
E7A5		｛⿱⿰大十⿺乚七｝
E7A6		｛⿱⿰大九⿺乚三｝
E7A7		｛⿱⿰大九⿺乚四｝
E7A8		｛⿱⿰大九⿺乚五｝
E7A9		｛⿱⿰大九⿺乚六｝
E7AA		｛⿱⿰大九⿺乚七｝
E7AB		𰀃
E7AC		｛⿱𰀃乍｝
E7AD		｛⿱从豆｝
E7AE		𨸏
E7AF		𠂀
E7B0		𠩡
E7B1		𠄾
E7B2		𠧞
E7B3		𠧪
E7B4		𠆩
E7B5		𠉀
E7B6		𠋫
E7B7		𠊬
E7B8		𠋤
E7B9		𠌯
E7BA		𠊷
E7BB		𠌖
E7BC		𠌷
E7BD		𠏀
E7BE		𠎝
E7BF		𠐈
E7C0		𠅠
E7C1		𦎧
E7C2		𠨩
E7C3		𠛎
E7C4		𠜖
E7C5		𠜜
E7C6		𠜶
E7C9		𠝡
E7CA		𠟪
E7CB		𠠕
E7CC		𠟺
E7CD		𠠗
E7CE		𠫤
E7CF		𠭴
E7D0		𡌵
E7D1		𡏟
E7D2		𡍩
E7D3		𡍪
E7D4		𡏖
E7D5		𡐦
E7D6		𡑌
E7D7		𡒔
E7D8		𡒉
E7D9		𦫵
E7DA		𡙇
E7DB		𣫵
E7DC		𡙡
E7DD		𣫶
E7DE		𠮵
E7DF		𠱥
E7E0		𠷀
E7E1		𠾂
E7E2		𢂺
E7E3		𢄔
E7E4		𢄐
E7E5		𢄙
E7E6		𢄨
E7E7		〾
E7E8		⿰
E7E9		⿱
E7EA		⿲
E7EB		⿳
E7EC		⿴
E7ED		⿵
E7EE		⿶
E7EF		⿷
E7F0		⿸
E7F1		⿹
E7F2		⿺
E7F3		⿻
E7F4		𢅕
E7F5		𡸱
E7F6		𠁳
E7F7		𡴞
E7F8		𢒼
E7F9		𢓁
E7FA		𢓌
E7FB		𢓜
E7FC		𢓤
E7FD		𧊔
E7FE		𧘂
E7FF		𢈧
E800		𢈶
E801		𢊏
E802		𢋅
E803		𡧘
E804		𡧯
E805		𡨋
E806		𩛻
E807		𣦢
E808		𠷎
E809		𢐉
E80A		𢐠
E80B		𩱖
E80C		𩱫
E80D		𡚼
E80E		𡜶
E80F		𭒀
E810		𡡙
E811		𡠗
E812		𩠐
E813		𨝖
E814		𤩊
E815		𠂆
E816		𠂇
E817		𠂉
E818		𠃌
E819		⺄
E81A		㑳
E81B		㑇
E81C		⺈
E81D		㔾
E81E		龴
E81F		㖞
E820		㘚
E821		㘎
E822		⺌
E823		⺗
E824		㥮
E825		㤘
E826		龵
E827		㧏
E828		㧟
E829		㩳
E82A		㧐
E82B		龶
E82C		龷
E82D		㭎
E82E		㱮
E82F		㳠
E830		𠂒
E831		𡗗
E832		龸
E833		𤴔
E834		䁖
E835		䅟
E836		𥫗
E837		䌷
E838		㓁
E839		⺶
E83A		𦍌
E83B		𢦏
E83C		䎱
E83D		䎬
E83E		⺻
E83F		䏝
E840		䓖
E841		䙡
E842		䙌
E843		龹
E844		䜣
E845		䜩
E846		䝼
E847		䞍
E848		𧾷
E849		䥇
E84A		䥺
E84B		䥽
E84C		䦂
E84D		䦃
E84E		䦅
E84F		䦆
E850		䦟
E851		䦛
E852		䦷
E853		䦶
E854		龺
E855		𤇾
E856		䲣
E857		䲟
E858		䲠
E859		䲡
E85A		䱷
E85B		䲢
E85C		䴓
E85D		䴔
E85E		䴕
E85F		䴖
E860		䴗
E861		䴘
E862		䴙
E863		䶮
E864		龻
E865		𣏾
E866		𣓈
E867		𣕕
E868		𡰈
E869		𣘘
E86A		𣖹
E86B		𣗉
E86C		𪔇
E86D		𦤞
E86E		𣡂
E86F		𣡌
E870		𤟎
E871		𤟮
E872		𤟧
E873		𤟟
E874		𢦦
E875		𢻹
E876		𣀃
E877		𣆀
E878		𣆡
E879		𣌾
E87A		𣉘
E87B		𣋉
E87C		𣋊
E87D		𣋌
E87E		𣋓
E87F		𣍘
E880		𣲖
E881		𣲓
E882		𣵷
E883		𣹋
E884		𤄀
E885		𤄎
E886		𤅵
E887		𤅊
E888		𤙭
E889		𤛵
E88A		𠚶
E88B		𢩮
E88C		𢪔
E88D		𢮋
E88E		𢱣
E88F		𢱢
E890		𢳇
E891		𢴨
E892		𢷍
E893		𢷎
E894		𢹔
E895		𢹮
E896		𢺡
E897		𣯻
E898		𤓰
E899		𦅸
E89A		𦙶
E89B		𣍪
E89C		𦚈
E89D		𦝩
E89E		𦞜
E89F		𣣔
E8A0		𣪊
E8A1		𩔣
E8A2		𤌉
E8A3		𩬊
E8A4		𤍡
E8A5		𣂍
E8A6		𢨪
E8A7		𢘍
E8A8		𢘁
E8A9		𢘇
E8AA		𢙣
E8AB		𢛢
E8AC		𢝆
E8AD		𢜮
E8AE		𢜽
E8AF		𢜭
E8B0		𢣣
E8B1		𢢞
E8B2		𪗫
E8B3		𥙴
E8B4		䄍
E8B5		𥛱
E8B6		𥉡
E8B7		𥊍
E8B8		𥉹
E8B9		𤱕
E8BA		𤱵
E8BB		𤱬
E8BC		𤱿
E8BD		𤳹
E8BE		𤴄
E8BF		𥂕
E8C0		𥂖
E8C1		𤯟
E8C2		𥞴
E8C3		𥤉
E8C4		𤵅
E8C5		𤶠
E8C6		𤸁
E8C7		𤺊
E8C8		𥥀
E8C9		𥀁
E8CA		𦔇
E8CB		𦔉
E8CC		𦔐
E8CD		𦘍
E8CE		𧟵
E8CF		𦥎
E8D0		𧇀
E8D1		𧈱
E8D2		𧉒
E8D3		𧉪
E8D4		𧊇
E8D5		𧊧
E8D6		𧋣
E8D7		𧋢
E8D8		𧌈
E8D9		𧍓
E8DA		𧏿
E8DB		𧏸
E8DC		𧐐
E8DD		𧐱
E8DE		𧐯
E8DF		𧐜
E8E0		𧒀
E8E1		𧐗
E8E2		𧑙
E8E3		𧑐
E8E4		𧑗
E8E5		𧓋
E8E6		𧔹
E8E7		𧕯
E8E8		𧖅
E8E9		𦉾
E8EA		𦉞
E8EB		𦉥
E8EC		𥬔
E8ED		𥭲
E8EE		𥮥
E8EF		𥮱
E8F0		𥯦
E8F1		𥱀
E8F2		𥯤
E8F3		𥰠
E8F4		𥳻
E8F5		𥴖
E8F6		𥶷
E8F7		𮆡
E8F8		𥵂
E8F9		𥴽
E8FA		𧗇
E8FB		𦨢
E8FC		𦩍
E8FD		𦩩
E8FE		𧑥
E8FF		𧚥
E900		𧛾
E901		𧞔
E902		𧝐
E903		𧝎
E904		𧝵
E905		𦎽
E906		𥼹
E907		𦯄
E908		𦳢
E909		𦳾
E90A		𦳼
E90B		𦵹
E90C		𦸣
E90D		𦺗
E90E		𦺇
E90F		𢡗
E910		𦺋
E911		𧀎
E912		𦿛
E913		𦿉
E914		𧀮
E915		𧂄
E916		𧃒
E917		𧓿
E918		𧃲
E919		𧄏
E91A		𧲛
E91B		𧆊
E91C		𦐖
E91D		𦑁
E91E		𥿋
E91F		𥿉
E920		𥿭
E921		𦀦
E922		𦁐
E923		𦂍
E924		𦃖
E925		𦃇
E926		𢇍
E927		𦅗
E928		𦇎
E929		𦆽
E92A		𧻚
E92B		𧼨
E92C		𨊠
E92D		𨊻
E92E		𨌔
E92F		𨎮
E930		𨍴
E931		𨏌
E932		𨏔
E933		𨏮
E934		𨏹
E935		𨠭
E936		𪓰
E937		｛⿰豕厄｝
E938		𧱅
E939		𧱫
E93A		𧲊
E93B		𧲖
E93C		𧠫
E93D		𧢂
E93E		𧿥
E93F		𧿹
E940		𨀥
E941		𨄃
E942		𨅙
E943		𨆫
E944		𨈅
E945		𨚍
E946		𨙿
E947		䢵
E948		𨛫
E949		𨜔
E94A		𨝰
E94B		𨞳
E94C		𨟊
E94D		𨟒
E94E		𧺆
E94F		𨒋
E950		𨓆
E951		𨔵
E952		𨔶
E953		𨔣
E954		𨖑
E955		𧲱
E956		𧳅
E957		𧳏
E958		𧳙
E959		𧴁
E95A		𧴙
E95B		𧣒
E95C		𧤊
E95D		𧥆
E95E		𧪮
E95F		𧫚
E960		𧫦
E961		𧬇
E962		𧬷
E963		𩇠
E964		𨲠
E965		𩂢
E966		𩃟
E967		𩄂
E968		𩅇
E969		𩅮
E96A		𩅄
E96B		𩇵
E96C		𨾛
E96D		𨸒
E96E		𨸰
E96F		𨺇
E970		𨺩
E971		𨻓
E972		𨽍
E973		𨧸
E974		𨪋
E975		𨬍
E976		𨵗
E977		𩌍
E978		𩍿
E979		𩑔
E97A		𩒎
E97B		𩒂
E97C		𩒛
E97D		𩒺
E97E		𩓣
E97F		𩔉
E980		𩩐
E981		𩲜
E982		𩛆
E983		𩛢
E984		𩜘
E985		𩛽
E986		𩞍
E987		𩝠
E988		𩞕
E989		𩞾
E98A		𩟄
E98B		𩟷
E98C		𩏪
E98D		𩢷
E98E		𩣦
E98F		𩣱
E990		𪌊
E991		𪌯
E992		𪉦
E993		𪊇
E994		𩿇
E995		𩿀
E996		𪀉
E997		𪀝
E998		𪀘
E999		𪁜
E99A		𪁪
E99B		𪁗
E99C		𪁛
E99D		𪃧
E99E		𪄴
E99F		𪆪
E9A0		𪇬
E9A1		𪆱
E9A2		𪇰
E9A3		𩸄
E9A4		𩻁
E9A5		𩼹
E9A6		𣤿
E9A7		𩞁
E9A8		𪋁
E9A9		𪐵
E9AA		𪐴
E9AB		𪒠
E9AC		䵱
E9AD		𪓿
E9AE		𠧩
E9AF		𠕎
E9B0		𠐍
E9B1		𠑔
E9B2		𠅨
E9B3		𠛱
E9B4		𠝥
E9B5		𦳲
E9B6		𠟼
E9B7		𡉫
E9B8		𡌴
E9B9		𡐛
E9BA		𡗨
E9BB		𠹬
E9BC		𠮾
E9BD		𢂿
E9BE		𡷫
E9BF		𡺍
E9C0		𡻳
E9C1		𡼠
E9C2		𡗀
E9C3		𢇲
E9C4		𦉨
E9C5		𢐮
E9C6		𤣾
E9C7		𤤽
E9C8		𤦇
E9C9		𣄴
E9CA		𣝇
E9CB		𣝛
E9CC		𣞷
E9CD		𣪁
E9CE		𢧕
E9CF		𣥏
E9D0		𢽟
E9D1		𢾕
E9D2		𣀩
E9D3		𣀮
E9D4		𣅳
E9D5		𣅿
E9D6		𦐇
E9D7		𣇘
E9D8		𣇭
E9D9		𣉙
E9DA		𣸥
E9DB		𣸪
E9DC		𤅀
E9DD		𤜃
E9DE		𢪛
E9DF		𢯆
E9E0		𢱧
E9E1		𢶏
E9E2		𢷋
E9E3		𢷌
E9E4		𢹬
E9E5		𢹶
E9E6		𣰰
E9E7		𦡫
E9E8		𤏳
E9E9		𤒯
E9EA		𢖲
E9EB		𢗗
E9EC		𢗙
E9ED		𢚓
E9EE		𢚝
E9EF		𢙼
E9F0		𢝊
E9F1		𢤧
E9F2		𢤱
E9F3		𥈭
E9F4		𣛒
E9F5		𥧲
E9F6		𧉻
E9F7		𦡈
E9F8		𥯧
E9F9		𧝋
E9FA		𧞸
E9FB		𦭼
E9FC		𡎊
E9FD		𦶜
E9FE		𦵦
E9FF		𦿚
EA00		𤑒
EA01		𦑲
EA02		𨎥
EA03		𨚗
EA04		𨜘
EA05		𨞕
EA06		𨘌
EA07		𧤗
EA08		𧦦
EA09		𧦝
EA0A		𧨳
EA0B		𧩪
EA0C		𧫣
EA0D		𨽸
EA0E		𩅦
EA0F		𩅾
EA10		𩇐
EA11		𩀌
EA12		𨻻
EA13		𨻵
EA14		𨮁
EA15		𨰥
EA16		𩐆
EA17		𩨨
EA18		𩨬
EA19		𪂴
EA1A		𪆟
EA1B		𤣏
EA1C		𪑜
EA1D		𪑮
EA1E		𪏮
EA1F		𢎞
EA20		𤣥
EA21		𤍞
EA22		𦙌
EA23		𦙍
EA24		𥛄
EA25		𠩵
EA26		𠔃
EA27		𤯔
EA28		｛⿳一八个｝
EA29		𠀘
EA2A		｛⿻册一｝
EA2B		｛⿱丆囘｝
EA2C		｛⿻廿儿｝
EA2D		｛⿱㓁不｝
EA2E		｛⿳丆月⿱冖友｝
EA2F		𩰺
EA30		𩱛
EA31		𬻻
EA32		𠦑
EA33		𠃔
EA34		｛㇯兎丶｝
EA35		𦈢
EA36		｛⿸𠂯丶｝
EA37		｛⿰𠂎⿱一丰｝
EA38		𦧇
EA39		｛⿻壬北｝
EA3A		｛⿳⿻亻口一𧘇｝
EA3B		｛⿱𠂹左｝	𢀩
EA3C		｛⿸产二｝
EA3D		㐪
EA3E		｛⿱六十｝
EA3F		𠑽
EA40		𠒋
EA41		𤱔
EA42		｛⿱亩日｝
EA43		｛⿳亠口⿱冖至｝
EA44		｛⿳亠壯衣｝
EA45		｛⿰亻㐄｝
EA46		𬽦
EA47		｛⿰亻刅｝
EA48		𠇍
EA49		｛⿰亻氏｝
EA4A		｛⿰丩仒｝
EA4B		｛⿱⺊⿰夕人｝	𣦸
EA4C		𠈁
EA4D		𠈃
EA4E		𠈉
EA4F		𧢲
EA50		｛⿳人𰀁口｝
EA51		𫯠
EA52		｛⿰亻児｝
EA53		𠲒
EA54		｛⿰亻𠔏｝
EA55		𠋣
EA56		𠊓
EA57		𬾨
EA58		𬾠
EA59		｛⿲亻丨⿱𠂉有｝
EA5A		𪝒
EA5B		𫝊
EA5C		｛⿰亻𮧯｝
EA5D		｛⿰亻⿳龹丶龴｝
EA5E		𠋘
EA5F		𠊩
EA60		｛⿲亻丨𤰅｝
EA61		𠌫
EA62		｛⿰亻䓒｝
EA63		｛⿲亻丨匽｝
EA64		｛⿰亻⿱杳小｝
EA65		｛⿱人⿻𠈌𰀁｝
EA66		𠎘
EA67		𬿚
EA68		𠍴
EA69		｛⿰亻⿳丆月⿱冖友｝
EA6A		𠎥
EA6B		𠎤
EA6C		𠎣
EA6D		｛⿱笁我｝
EA6E		𠐚
EA6F		｛⿰亻𮥼｝
EA70		｛⿰亻㬱｝
EA71		𠐶
EA72		𫤌
EA73		𠑩
EA74		𪺛
EA75		｛⿳⿴𦥑同冖黄｝
EA76		｛⿵𰃦夕｝
EA77		𠕋
EA78		｛⿱㓁大｝
EA79		｛⿱冖具｝
EA7A		｛⿳冖一取｝
EA7B		｛⿳冖一豖｝
EA7C		𠖥
EA7D		｛⿰冫麦｝
EA7E		｛⿰冫亰｝
EA7F		𠫗
EA80		𠙖
EA81		｛⿵𠘨⿱䒑鳥｝
EA82		𭃄
EA83		𮎛
EA84		｛〾免｝
EA85		𠛬
EA86		𠜇
EA87		𠛼
EA88		𱐝
EA89		｛⿳⺈𦉪𧰨｝	𧰼
EA8A		｛⿰兼刂｝
EA8B		｛⿰䖏刂｝
EA8C		𠟡
EA8D		𠟇
EA8E		｛⿰賛刂｝
EA8F		𢆲
EA90		｛⿰ス土刂｝
EA91		｛⿰朿刂｝
EA92		𠡠
EA93		𫝑
EA94		𭄿
EA95		｛⿹勹豕｝
EA96		｛⿺𠃊⿱匕目｝
EA97		｛⿱北𤰞｝
EA98		𠤷
EA99		𣁬
EA9A		｛⿱ス十｝
EA9B		｛⿱十⿵冂午｝
EA9C		｛⿱⿻土𡖇八｝
EA9D		｛⿱𦉪卓｝	𦋐
EA9E		｛⿱古幸｝
EA9F		𭅺
EAA0		｛⿰𠂎𭅺｝
EAA1		｛⿸厂火｝
EAA2		𠩄
EAA3		｛⿸厂觧｝
EAA4		｛⿸厂聴｝
EAA5		𠫊
EAA6		｛⿱申又｝
EAA7		｛⿺㇯段几コ｝
EAA8		｛⿳叒冖彑｝
EAA9		｛⿰⿸尸⿳一八几殳｝	𣪫
EAAA		｛⿰舁殳｝
EAAB		𣪣
EAAC		｛⿰⿳士冖米殳｝
EAAD		｛⿰卵叚｝
EAAE		𠯁
EAAF		｛⿰口𤓰｝
EAB0		𠯳
EAB1		｛⿰口𡈽｝
EAB2		𠧧
EAB3		𠰗
EAB4		𠰸
EAB5		｛⿰口㓜｝
EAB6		｛⿱尒口｝
EAB7		𮩸
EAB8		｛⿱⿰启又口｝
EAB9		｛⿰口芉｝	哶
EABA		𮊁
EABB		｛⿱口肎｝
EABC		𠳲
EABD		𪡌
EABE		｛⿱口亰｝
EABF		｛⿸厃⿱八𢀛｝
EAC0		｛⿰口𧈧｝	𠷣
EAC1		𦈯
EAC2		𭈹
EAC3		𠷢
EAC4		𠺡
EAC5		𭉨
EAC6		𠹛
EAC7		𭊌
EAC8		𠽁
EAC9		｛⿲吕𬼀吕｝
EACA		𠼫
EACB		｛⿰口殻｝
EACC		｛⿰口𦒿｝
EACD		𠾱
EACE		｛⿰口⿵𡶔𡭕｝
EACF		｛⿳吅尤吅｝
EAD0		｛⿰口⿵𡶔⿱一少｝
EAD1		𡂐
EAD2		𩰿
EAD3		𡄸
EAD4		｛⿳吅貢吅｝
EAD5		｛⿴囗𢦙｝
EAD6		𡈽
EAD7		𡉄
EAD8		𦒱
EAD9		𡉙
EADA		｛⿰土⿺乚匕｝
EADB		𠮷
EADC		｛⿱土⿻丷十｝
EADD		𤬪
EADE		𡊮
EADF		｛⿰土㓜｝
EAE0		｛⿰土厈｝
EAE1		｛⿰土𠕁｝	𡊢
EAE2		𦍒
EAE3		｛⿰土𢦙｝
EAE4		｛⿰土奈｝
EAE5		𡎇
EAE6		𡍼
EAE7		𡏇
EAE8		｛⿰土⿱罒𦈢｝
EAE9		𡔷
EAEA		｛⿱里𪢾｝
EAEB		𭏦
EAEC		𤳈
EAED		𡐊
EAEE		𭏟
EAEF		｛⿱⿰⿳⺊冖石又土｝
EAF0		𡒃
EAF1		𡑷
EAF2		𡑅
EAF3		｛⿱彐⿰垁凡｝
EAF4		｛⿱豤土｝
EAF5		𡑞
EAF6		｛⿱⿰𭥯犬土｝	𡒦
EAF7		｛⿳⿴𦥑同冖土｝
EAF8		𭽸
EAF9		𡓜
EAFA		𭐏
EAFB		𥀷
EAFC		𨾏
EAFD		𩀱
EAFE		𡖉
EAFF		𣦸
EB00		｛⿰歺皮｝
EB01		｛⿰歺朱｝
EB02		𡗓
EB03		𡗜
EB04		𡗝
EB05		𤆍
EB06		｛⿱吅大｝	𡘜
EB07		𠫵
EB08		｛⿳龹丶龴｝
EB09		｛⿰夸𤓰｝
EB0A		𡘤
EB0B		｛⿱夭呙｝
EB0C		｛⿱敖大｝
EB0D		｛⿳冖𦉪𡗬｝	𡙟
EB0E		｛⿱⿰爿寽大｝
EB0F		𢑱
EB10		｛⿳彐粉大｝
EB11		𡚒
EB12		𢑴
EB13		𡚶
EB14		𡛸
EB15		𡜟
EB16		｛⿱㳄女｝
EB17		｛⿲女丨臣｝
EB18		𡜮
EB19		𡝭
EB1A		｛⿰女𧈧｝	𡟎
EB1B		𪦈
EB1C		𡟎
EB1D		𡠾
EB1E		𡡾
EB1F		𡢃
EB20		𡣳
EB21		｛⿰女頼｝
EB22		𡥂
EB23		𡥉
EB24		𡥈
EB25		｛⿰子𤓰｝
EB26		𡦽
EB27		𡧓
EB28		｛⿳宀丷工｝
EB29		𫳂
EB2A		｛⿱宀𠮷｝
EB2B		𡨚
EB2C		｛⿱宀㝴｝
EB2D		𪧐
EB2E		𡨜
EB2F		｛⿱宀𨐌｝
EB30		｛⿱宀总｝
EB31		｛⿳宀一取｝
EB32		𭔃
EB33		𪧟
EB34		𮔉
EB35		｛⿱宀悤｝
EB36		｛⿳宀羽尒｝
EB37		𱚔
EB38		𡫏
EB39		｛⿳𡨄口䒑｝
EB3A		｛⿱宀䳡｝
EB3B		｛⿱㇯甫丶寸｝
EB3C		｛⿰丬寽｝
EB3D		𡭊
EB3E		｛⿺尢丶｝
EB3F		𭕒
EB40		𡱇
EB41		𡱈
EB42		𡱁
EB43		𡱝
EB44		｛⿸尸𭣖｝
EB45		｛⿸尸⿰丬复｝
EB46		｛⿸尸牃｝
EB47		｛⿸尸⿰丬婁｝
EB48		䶹
EB49		𡵺
EB4A		𡵨
EB4B		𡵯
EB4C		𡶗
EB4D		｛⿱山虫｝	𧈪
EB4E		｛⿱山夅｝
